review_uid,destination,source,language_review,stars,date,text_clean,polaridad_sugerida,aspecto_sugerido,motivo_minado,score_minado,prioridad_anotacion
gm_1fc3c6ced521e710,Ciudadela de Kuélap,Google Maps,es,5,2023-01-07T13:16:41.097Z,"Es un hermoso lugar lleno de historia, pero es una lástima que ahora solo se pueda llegar hasta un muro caído y nada más, es lamentable que dentro de la zona arqueológica exista comercios informales, construcciones que no son acordes a la arquitectura del lugar, que ocasionan mucha contaminación visual y también acústica, por la música a volumen alto y por la emisión de humos y olores fuertes en zona frontal de los muros prehispánicos.",negativo,atractivos,"estrellas=5 | neg_sutil:lastima,una lastima,lamentable | conector:pero",0.833,alta
gm_1fc3c6ced521e710,Ciudadela de Kuélap,Google Maps,es,5,2023-01-07T13:16:41.097Z,"Es un hermoso lugar lleno de historia, pero es una lástima que ahora solo se pueda llegar hasta un muro caído y nada más, es lamentable que dentro de la zona arqueológica exista comercios informales, construcciones que no son acordes a la arquitectura del lugar, que ocasionan mucha contaminación visual y también acústica, por la música a volumen alto y por la emisión de humos y olores fuertes en zona frontal de los muros prehispánicos.",negativo,accesibilidad,"estrellas=5 | neg_sutil:lastima,una lastima,lamentable | conector:pero",0.833,alta
gm_5b9dc734b57ea8a1,Santuario Histórico de Machu Picchu,Google Maps,en,3,2026-04-06T12:49:22.751Z,"Machu Picchu itself is certainly an impressive archeological site. The price (entry ticket per circuit 152S, resp. 50$) is very high in my regards, especially since there is zero information given on the site itself. Further all means of transport are overpriced compared to the rest of Peru and there is no alternative. Overall a nice experience, but felt overpriced, without any reasonable alternative for means of transport, too little/no information and thus a overrated.",negativo,costos,"estrellas=3 | neg_sutil:overrated,no information | conector:but",0.75,alta
gm_5b9dc734b57ea8a1,Santuario Histórico de Machu Picchu,Google Maps,en,3,2026-04-06T12:49:22.751Z,"Machu Picchu itself is certainly an impressive archeological site. The price (entry ticket per circuit 152S, resp. 50$) is very high in my regards, especially since there is zero information given on the site itself. Further all means of transport are overpriced compared to the rest of Peru and there is no alternative. Overall a nice experience, but felt overpriced, without any reasonable alternative for means of transport, too little/no information and thus a overrated.",negativo,accesibilidad,"estrellas=3 | neg_sutil:overrated,no information | conector:but",0.75,alta
gm_5b9dc734b57ea8a1,Santuario Histórico de Machu Picchu,Google Maps,en,3,2026-04-06T12:49:22.751Z,"Machu Picchu itself is certainly an impressive archeological site. The price (entry ticket per circuit 152S, resp. 50$) is very high in my regards, especially since there is zero information given on the site itself. Further all means of transport are overpriced compared to the rest of Peru and there is no alternative. Overall a nice experience, but felt overpriced, without any reasonable alternative for means of transport, too little/no information and thus a overrated.",negativo,atencion_servicio,"estrellas=3 | neg_sutil:overrated,no information | conector:but",0.75,alta
gm_6f306e508dc373a8,Santuario Histórico de Machu Picchu,Google Maps,en,1,2024-12-03T15:28:58.404Z,"It’s an overpopulated tourist trap. Out of the 2,5 hours I was waiting for 2 hours on instagram addicts taking the same selfie everyone else also has. The guide told very basic stories which is not worth your money. You might as well go to Disneyland and stand in line all day. Better take route 4 and hike up Huayna Picchu by yourself. Probably one of the worst ancient temples I’ve visited in Latin America.",negativo,atractivos,"estrellas=1 | neg_sutil:tourist trap,not worth",0.667,alta
gm_6f306e508dc373a8,Santuario Histórico de Machu Picchu,Google Maps,en,1,2024-12-03T15:28:58.404Z,"It’s an overpopulated tourist trap. Out of the 2,5 hours I was waiting for 2 hours on instagram addicts taking the same selfie everyone else also has. The guide told very basic stories which is not worth your money. You might as well go to Disneyland and stand in line all day. Better take route 4 and hike up Huayna Picchu by yourself. Probably one of the worst ancient temples I’ve visited in Latin America.",negativo,costos,"estrellas=1 | neg_sutil:tourist trap,not worth",0.667,alta
gm_6f306e508dc373a8,Santuario Histórico de Machu Picchu,Google Maps,en,1,2024-12-03T15:28:58.404Z,"It’s an overpopulated tourist trap. Out of the 2,5 hours I was waiting for 2 hours on instagram addicts taking the same selfie everyone else also has. The guide told very basic stories which is not worth your money. You might as well go to Disneyland and stand in line all day. Better take route 4 and hike up Huayna Picchu by yourself. Probably one of the worst ancient temples I’ve visited in Latin America.",negativo,accesibilidad,"estrellas=1 | neg_sutil:tourist trap,not worth",0.667,alta
gm_ce860b6b852f93c2,Santuario Histórico de Machu Picchu,Google Maps,en,1,2023-06-06T13:48:59.208Z,"Be aware that the price of the ticket and attitude of the object management is awful. Price is much more than for other wonderful sites like collosum, Piza tower, neushwenstein etc. You can pick only one of available circuits. In our (4th) circuit you additionally had to choose between seeing hall of mirrors and temple of kondor... The view of course is beautiful. But imo mountains are better. No information boards available. Toilets, bus service, luggage storage additionally paid",negativo,atractivos,estrellas=1 | neg_sutil:no information | conector:but,0.667,alta
gm_ce860b6b852f93c2,Santuario Histórico de Machu Picchu,Google Maps,en,1,2023-06-06T13:48:59.208Z,"Be aware that the price of the ticket and attitude of the object management is awful. Price is much more than for other wonderful sites like collosum, Piza tower, neushwenstein etc. You can pick only one of available circuits. In our (4th) circuit you additionally had to choose between seeing hall of mirrors and temple of kondor... The view of course is beautiful. But imo mountains are better. No information boards available. Toilets, bus service, luggage storage additionally paid",negativo,costos,estrellas=1 | neg_sutil:no information | conector:but,0.667,alta
gm_ce860b6b852f93c2,Santuario Histórico de Machu Picchu,Google Maps,en,1,2023-06-06T13:48:59.208Z,"Be aware that the price of the ticket and attitude of the object management is awful. Price is much more than for other wonderful sites like collosum, Piza tower, neushwenstein etc. You can pick only one of available circuits. In our (4th) circuit you additionally had to choose between seeing hall of mirrors and temple of kondor... The view of course is beautiful. But imo mountains are better. No information boards available. Toilets, bus service, luggage storage additionally paid",negativo,accesibilidad,estrellas=1 | neg_sutil:no information | conector:but,0.667,alta
gm_a31b99bb24a87b8c,Complejo Arqueológico Chan Chan,Google Maps,es,5,2024-01-13T17:49:20.344Z,"Interesante para conocer más sobre la historia de nuestro Perú. Pude conocer el museo, el cual toma 20-30 minutos de recorrido, y luego la ciudadela. El precio que pagas al ingresar te permite visitar ambos lugares. Sobre el museo, puedes visitarlo con o sin guía (precio adicional). En mi caso recorrí el museo con mi pareja por nuestra cuenta, pero para la ciudadela sí contratamos una guía por un precio adicional (s/ 60). Ojo que la distancia entre el museo y la ciudadela es aprox. entre 5-7 minutos en auto, pero pueden ir caminando, aunque el sol es intenso en enero. Sobre el costo, yo fui con mi pareja, pero pueden juntarse entre más personas y pagar menos si se dividen el costo. Me tocó una guía amena, así que disfrutamos conociendo la historia del lugar. ¡Muy entretenido! Solo es una lástima que aún no se conozca toda la ciudadela, como las tumbas (siguen estudiándola). Aún así, recomiendo visitar porque está cerca del centro de Trujillo.",negativo,atractivos,"estrellas=5 | neg_sutil:lastima,una lastima | conector:pero,aunque",0.583,alta
gm_a31b99bb24a87b8c,Complejo Arqueológico Chan Chan,Google Maps,es,5,2024-01-13T17:49:20.344Z,"Interesante para conocer más sobre la historia de nuestro Perú. Pude conocer el museo, el cual toma 20-30 minutos de recorrido, y luego la ciudadela. El precio que pagas al ingresar te permite visitar ambos lugares. Sobre el museo, puedes visitarlo con o sin guía (precio adicional). En mi caso recorrí el museo con mi pareja por nuestra cuenta, pero para la ciudadela sí contratamos una guía por un precio adicional (s/ 60). Ojo que la distancia entre el museo y la ciudadela es aprox. entre 5-7 minutos en auto, pero pueden ir caminando, aunque el sol es intenso en enero. Sobre el costo, yo fui con mi pareja, pero pueden juntarse entre más personas y pagar menos si se dividen el costo. Me tocó una guía amena, así que disfrutamos conociendo la historia del lugar. ¡Muy entretenido! Solo es una lástima que aún no se conozca toda la ciudadela, como las tumbas (siguen estudiándola). Aún así, recomiendo visitar porque está cerca del centro de Trujillo.",negativo,costos,"estrellas=5 | neg_sutil:lastima,una lastima | conector:pero,aunque",0.583,alta
gm_a31b99bb24a87b8c,Complejo Arqueológico Chan Chan,Google Maps,es,5,2024-01-13T17:49:20.344Z,"Interesante para conocer más sobre la historia de nuestro Perú. Pude conocer el museo, el cual toma 20-30 minutos de recorrido, y luego la ciudadela. El precio que pagas al ingresar te permite visitar ambos lugares. Sobre el museo, puedes visitarlo con o sin guía (precio adicional). En mi caso recorrí el museo con mi pareja por nuestra cuenta, pero para la ciudadela sí contratamos una guía por un precio adicional (s/ 60). Ojo que la distancia entre el museo y la ciudadela es aprox. entre 5-7 minutos en auto, pero pueden ir caminando, aunque el sol es intenso en enero. Sobre el costo, yo fui con mi pareja, pero pueden juntarse entre más personas y pagar menos si se dividen el costo. Me tocó una guía amena, así que disfrutamos conociendo la historia del lugar. ¡Muy entretenido! Solo es una lástima que aún no se conozca toda la ciudadela, como las tumbas (siguen estudiándola). Aún así, recomiendo visitar porque está cerca del centro de Trujillo.",negativo,accesibilidad,"estrellas=5 | neg_sutil:lastima,una lastima | conector:pero,aunque",0.583,alta
gm_2157d21ce15cb1c2,Museo Tumbas Reales del Señor de Sipán,Google Maps,es,5,2018-01-10T11:35:13.142Z,"Lindo lugar para conocer del esfuerzo del hombre por preservar una cultura como la mochica. No se pueden tomar fotos al interior y ello es una lástima pero lo q se ve es muy bonito, en atención al trabajo arqueológico",negativo,atractivos,"estrellas=5 | neg_sutil:lastima,una lastima | conector:pero",0.583,alta
gm_2157d21ce15cb1c2,Museo Tumbas Reales del Señor de Sipán,Google Maps,es,5,2018-01-10T11:35:13.142Z,"Lindo lugar para conocer del esfuerzo del hombre por preservar una cultura como la mochica. No se pueden tomar fotos al interior y ello es una lástima pero lo q se ve es muy bonito, en atención al trabajo arqueológico",negativo,atencion_servicio,"estrellas=5 | neg_sutil:lastima,una lastima | conector:pero",0.583,alta
gm_1d267f21183b0ab4,Museo de Sitio Huaca Pucllana,Google Maps,en,4,2019-11-09T07:48:53.618Z,"Good experience, but maybe not worth its own visit but a sure thing if you are in the area.",negativo,costos,"estrellas=4 | neg_sutil:not worth,not worth it | conector:but",0.583,alta
gm_0846b0ec868d7ed5,Santuario Histórico de Machu Picchu,Google Maps,en,5,2024-09-30T22:50:54.486Z,"Incredible! Unfortunately first day I went it was foggy and rained. Next day was sunny and beautiful. Don’t do Gran Caverna, not worth it. Make sure to do Circuit 1 or 2 to get the classic view.",negativo,atractivos,"estrellas=5 | neg_sutil:not worth,not worth it | conector:unfortunately",0.583,alta
gm_0846b0ec868d7ed5,Santuario Histórico de Machu Picchu,Google Maps,en,5,2024-09-30T22:50:54.486Z,"Incredible! Unfortunately first day I went it was foggy and rained. Next day was sunny and beautiful. Don’t do Gran Caverna, not worth it. Make sure to do Circuit 1 or 2 to get the classic view.",negativo,costos,"estrellas=5 | neg_sutil:not worth,not worth it | conector:unfortunately",0.583,alta
gm_2d94d59497d21a3f,Santuario Histórico de Machu Picchu,Google Maps,en,4,2026-04-15T19:00:44.547Z,"Just like for the most of people, Machu Picchu was on my bucket list, because I started planning the trip a bit late, tickets to actually enter Machu Picchu were sold out already and I did circuit 1 with the famous view from the terrace. It was definitely cool to see, but I have to admit that I was a bit disappointed. The whole trek was very short from start to finish and when you factor all the expenses to actually see it, the crowds, waiting time, it felt a bit flat for the price. Overall Machu Picchu is worth a visit, but it's the definition of a tourist trap. Be sure to plan everything beforehand and you should have a better experience.",negativo,atractivos,"estrellas=4 | neg_sutil:tourist trap,disappointed | conector:but",0.583,alta
gm_2d94d59497d21a3f,Santuario Histórico de Machu Picchu,Google Maps,en,4,2026-04-15T19:00:44.547Z,"Just like for the most of people, Machu Picchu was on my bucket list, because I started planning the trip a bit late, tickets to actually enter Machu Picchu were sold out already and I did circuit 1 with the famous view from the terrace. It was definitely cool to see, but I have to admit that I was a bit disappointed. The whole trek was very short from start to finish and when you factor all the expenses to actually see it, the crowds, waiting time, it felt a bit flat for the price. Overall Machu Picchu is worth a visit, but it's the definition of a tourist trap. Be sure to plan everything beforehand and you should have a better experience.",negativo,costos,"estrellas=4 | neg_sutil:tourist trap,disappointed | conector:but",0.583,alta
gm_2d94d59497d21a3f,Santuario Histórico de Machu Picchu,Google Maps,en,4,2026-04-15T19:00:44.547Z,"Just like for the most of people, Machu Picchu was on my bucket list, because I started planning the trip a bit late, tickets to actually enter Machu Picchu were sold out already and I did circuit 1 with the famous view from the terrace. It was definitely cool to see, but I have to admit that I was a bit disappointed. The whole trek was very short from start to finish and when you factor all the expenses to actually see it, the crowds, waiting time, it felt a bit flat for the price. Overall Machu Picchu is worth a visit, but it's the definition of a tourist trap. Be sure to plan everything beforehand and you should have a better experience.",negativo,accesibilidad,"estrellas=4 | neg_sutil:tourist trap,disappointed | conector:but",0.583,alta
gm_a9c4e0cb0b75cb79,Santuario Histórico de Machu Picchu,Google Maps,en,3,2026-01-10T00:57:25.646Z,"I’m glad that I didn’t go out of my way to get here, otherwise I would have been more disappointed. The fact that I’ve been to Machu Picchu is probably more significant than the experience itself. Machu Picchu is culturally important and iconic, but visually underwhelming — more a symbol than a truly awe-inspiring place.",negativo,atractivos,"estrellas=3 | neg_sutil:underwhelming,disappointed | conector:but",0.583,alta
gm_e5d9fa8a2bde3412,Valle del Colca,Google Maps,es,3,2023-05-24T20:18:11.281Z,"Sigue bonito aunque muchos lugares buenos anteriores fueron cerrados como por ejemplo un restaurante de buffet al frente del hotel casa andina y otros, es una lastima realmente, esperemos que mejoren las cosas con el pasar de los meses",negativo,atractivos,"estrellas=3 | neg_sutil:lastima,una lastima | conector:aunque",0.583,alta
gm_1ec32b6ce7c8bcc1,Circuito Mágico del Agua,Google Maps,en,5,2018-05-10T06:35:46.791Z,"Great place to walk around and get some great pictures. I recommend getting to this place on your own unless you absolutely need to have a tour guide. Entry fee is only 4 soles ($1.33 roughly) so those costly tours are not worth it, all I saw was people getting herded around the park. This is a park where you can take your time and let it all soak in.",negativo,atractivos,"estrellas=5 | neg_sutil:not worth,not worth it",0.5,alta
gm_1ec32b6ce7c8bcc1,Circuito Mágico del Agua,Google Maps,en,5,2018-05-10T06:35:46.791Z,"Great place to walk around and get some great pictures. I recommend getting to this place on your own unless you absolutely need to have a tour guide. Entry fee is only 4 soles ($1.33 roughly) so those costly tours are not worth it, all I saw was people getting herded around the park. This is a park where you can take your time and let it all soak in.",negativo,costos,"estrellas=5 | neg_sutil:not worth,not worth it",0.5,alta
gm_1ec32b6ce7c8bcc1,Circuito Mágico del Agua,Google Maps,en,5,2018-05-10T06:35:46.791Z,"Great place to walk around and get some great pictures. I recommend getting to this place on your own unless you absolutely need to have a tour guide. Entry fee is only 4 soles ($1.33 roughly) so those costly tours are not worth it, all I saw was people getting herded around the park. This is a park where you can take your time and let it all soak in.",negativo,accesibilidad,"estrellas=5 | neg_sutil:not worth,not worth it",0.5,alta
gm_c406de8b96950ad0,Circuito Mágico del Agua,Google Maps,en,5,2024-03-26T16:30:47.736Z,"Excellent park to spend some quality hours with family. Recomendable for kids to play with water fountains. Ice skating facility is overrated and lack of knee and elbow protection. Not reccomended. The show of lights is interesting and varies from time to time. Outside the park, there are several street restaurants... A BIT more expensive than normal street food places but not extremely high. Reccomended!",negativo,atractivos,estrellas=5 | neg_sutil:overrated | conector:but,0.5,alta
gm_c406de8b96950ad0,Circuito Mágico del Agua,Google Maps,en,5,2024-03-26T16:30:47.736Z,"Excellent park to spend some quality hours with family. Recomendable for kids to play with water fountains. Ice skating facility is overrated and lack of knee and elbow protection. Not reccomended. The show of lights is interesting and varies from time to time. Outside the park, there are several street restaurants... A BIT more expensive than normal street food places but not extremely high. Reccomended!",negativo,costos,estrellas=5 | neg_sutil:overrated | conector:but,0.5,alta
gm_c406de8b96950ad0,Circuito Mágico del Agua,Google Maps,en,5,2024-03-26T16:30:47.736Z,"Excellent park to spend some quality hours with family. Recomendable for kids to play with water fountains. Ice skating facility is overrated and lack of knee and elbow protection. Not reccomended. The show of lights is interesting and varies from time to time. Outside the park, there are several street restaurants... A BIT more expensive than normal street food places but not extremely high. Reccomended!",negativo,accesibilidad,estrellas=5 | neg_sutil:overrated | conector:but,0.5,alta
gm_42b2f4ce664a96bc,Huacas del Sol y de la Luna,Google Maps,es,4,2019-02-23T15:13:00.523Z,"Qué pena desdé que ya no está el Dr. Uceda está en un estado de abandono, tal pareciera que el Dr. llevó todo a la tumba, no hay interés de parte del ministerio de la cultura por hacer algo por su conservación, es una lástima que no se valoré la labor tan grande que se hizo con un gran equipo de gente que hicieron posible que se pueda visitar ahora, es importante valorar a nuestras culturas ancestrales, conocer nuestros orígenes, de allí se saca mucha enseñanza, cuanto nos falta aprender realmente, los trabajos que se realizaron allí son invaluables, lo recomiendo.",negativo,atractivos,"estrellas=4 | neg_sutil:lastima,una lastima",0.5,alta
gm_9819f0ca698a083f,Huacas del Sol y de la Luna,Google Maps,es,4,2024-04-11T19:39:59.633Z,"Es increíble lo bien conservado que está, sobretodo los colores de los murales. Es una lástima que no exista más inversión para la cultura!",negativo,atractivos,"estrellas=4 | neg_sutil:lastima,una lastima",0.5,alta
gm_e25166b6a4b1e0cb,Huacas del Sol y de la Luna,Google Maps,es,5,2025-02-27T19:01:03.617Z,"Todo espectacular. Excepto a la hora de pagar no existe medios de pago, solo efectivo como los Moches. Otra opción te llevan al cuarto de sacrificio (kiosko, te obligan a comprar algo con yape más la entrada)",negativo,atractivos,"estrellas=5 | neg_sutil:te obligan,obligan a",0.5,alta
gm_e25166b6a4b1e0cb,Huacas del Sol y de la Luna,Google Maps,es,5,2025-02-27T19:01:03.617Z,"Todo espectacular. Excepto a la hora de pagar no existe medios de pago, solo efectivo como los Moches. Otra opción te llevan al cuarto de sacrificio (kiosko, te obligan a comprar algo con yape más la entrada)",negativo,costos,"estrellas=5 | neg_sutil:te obligan,obligan a",0.5,alta
gm_6a53851a9234291b,Parque Arqueológico de Sacsayhuamán,Google Maps,en,1,2024-08-05T17:33:29.041Z,"70 Soles per person to enter, in good shape but a tourist trap",negativo,costos,estrellas=1 | neg_sutil:tourist trap | conector:but,0.5,alta
gm_166112498f52340b,Santuario Histórico de Machu Picchu,Google Maps,en,5,2024-10-01T19:56:56.819Z,Everyone must go to this wonderful place at least once in their life. Amazing experience. Go take the bus up and down the walk is not worth it and you will thank your legs later.,negativo,atractivos,"estrellas=5 | neg_sutil:not worth,not worth it",0.5,alta
gm_166112498f52340b,Santuario Histórico de Machu Picchu,Google Maps,en,5,2024-10-01T19:56:56.819Z,Everyone must go to this wonderful place at least once in their life. Amazing experience. Go take the bus up and down the walk is not worth it and you will thank your legs later.,negativo,costos,"estrellas=5 | neg_sutil:not worth,not worth it",0.5,alta
gm_166112498f52340b,Santuario Histórico de Machu Picchu,Google Maps,en,5,2024-10-01T19:56:56.819Z,Everyone must go to this wonderful place at least once in their life. Amazing experience. Go take the bus up and down the walk is not worth it and you will thank your legs later.,negativo,accesibilidad,"estrellas=5 | neg_sutil:not worth,not worth it",0.5,alta
gm_1e588a7d345515dc,Santuario Histórico de Machu Picchu,Google Maps,en,5,2022-10-03T20:44:23.651Z,"Machu Picchu was a definite fantastic experience for me. Granted, I had to make a reservation months in advance, because there is limited entrance per day, per hour, but totally worth every hassle. transportation and mild inconvenience. Tips: The Machu Picchu Train with the glass ceiling and show is totally NOT worth the extra money. I went one way the expensive option and got roasted by the sun glazing through, and the way back was much cheaper and less sunny. You can still appreciate the view of the andes for half the price.",negativo,atractivos,estrellas=5 | neg_sutil:not worth | conector:but,0.5,alta
gm_1e588a7d345515dc,Santuario Histórico de Machu Picchu,Google Maps,en,5,2022-10-03T20:44:23.651Z,"Machu Picchu was a definite fantastic experience for me. Granted, I had to make a reservation months in advance, because there is limited entrance per day, per hour, but totally worth every hassle. transportation and mild inconvenience. Tips: The Machu Picchu Train with the glass ceiling and show is totally NOT worth the extra money. I went one way the expensive option and got roasted by the sun glazing through, and the way back was much cheaper and less sunny. You can still appreciate the view of the andes for half the price.",negativo,costos,estrellas=5 | neg_sutil:not worth | conector:but,0.5,alta
gm_1e588a7d345515dc,Santuario Histórico de Machu Picchu,Google Maps,en,5,2022-10-03T20:44:23.651Z,"Machu Picchu was a definite fantastic experience for me. Granted, I had to make a reservation months in advance, because there is limited entrance per day, per hour, but totally worth every hassle. transportation and mild inconvenience. Tips: The Machu Picchu Train with the glass ceiling and show is totally NOT worth the extra money. I went one way the expensive option and got roasted by the sun glazing through, and the way back was much cheaper and less sunny. You can still appreciate the view of the andes for half the price.",negativo,accesibilidad,estrellas=5 | neg_sutil:not worth | conector:but,0.5,alta
gm_f3259f7325f91df2,Circuito Mágico del Agua,Google Maps,en,4,2017-12-23T14:00:58.024Z,"Great light show, cheap to enter. But 0.50 soles to use the bathroom which were disgusting with no consumables was terrible. Other than that a pleasure to walk around.",negativo,atractivos,estrellas=4 | neg_sutil: | conector:but,0.417,media
gm_f3259f7325f91df2,Circuito Mágico del Agua,Google Maps,en,4,2017-12-23T14:00:58.024Z,"Great light show, cheap to enter. But 0.50 soles to use the bathroom which were disgusting with no consumables was terrible. Other than that a pleasure to walk around.",negativo,costos,estrellas=4 | neg_sutil: | conector:but,0.417,media
gm_f3259f7325f91df2,Circuito Mágico del Agua,Google Maps,en,4,2017-12-23T14:00:58.024Z,"Great light show, cheap to enter. But 0.50 soles to use the bathroom which were disgusting with no consumables was terrible. Other than that a pleasure to walk around.",negativo,accesibilidad,estrellas=4 | neg_sutil: | conector:but,0.417,media
gm_17e3dc13707b8eb6,Complejo Arqueológico Chan Chan,Google Maps,es,4,2022-06-23T19:22:36.863Z,"Este museo guarda algunas muestras de la ceramica, textileria y orfebreria encontradas en la ciudadela de Chan Chan, lastimosamente debido al terrible saqueo y destruccion de la ciudadela desde tiempos de la conquista, no es tan impresionante como los museos Tumbas Reales, Bruning o el Brujo, pero sirve para dar al visitante una mirada a como fue la vida de los habitantes de este hermoso complejo.",negativo,atractivos,estrellas=4 | neg_sutil: | conector:pero,0.417,media
gm_94ad21674c8cc897,Líneas y Geoglifos de Nasca y Palpa,Google Maps,es,5,2018-07-11T14:21:48.486Z,"Hermoso viaje, aunque el mareo es terrible",negativo,atractivos,estrellas=5 | neg_sutil: | conector:aunque,0.417,media
gm_f05cdae10360ce00,Líneas y Geoglifos de Nasca y Palpa,Google Maps,es,4,2016-06-18T14:08:09.777Z,"Increibles, lastima que el vuelo sea tan costoso para poder apreciarlas todas",negativo,atractivos,estrellas=4 | neg_sutil:lastima,0.417,media
gm_f05cdae10360ce00,Líneas y Geoglifos de Nasca y Palpa,Google Maps,es,4,2016-06-18T14:08:09.777Z,"Increibles, lastima que el vuelo sea tan costoso para poder apreciarlas todas",negativo,costos,estrellas=4 | neg_sutil:lastima,0.417,media
gm_c32b461e5c969d5b,Museo de Sitio Huaca Pucllana,Google Maps,en,3,2026-05-07T00:43:02.904Z,"The archaeological site itself was honestly very impressive and absolutely worth visiting. You can really feel the importance of the place, and the ruins are beautifully preserved. Unfortunately, the guided tour didn’t quite match the quality of the site itself. Our local guide seemed a bit disengaged and gave very limited historical information in English. Most of the tour felt like simply moving from one point to another without much storytelling, interesting context, or those little fun facts that usually make places like this come alive. It wasn’t terrible, just surprisingly flat for such a fascinating location. We actually ended up leaving before the tour finished because it became hard to stay engaged. That said, I would still absolutely recommend visiting the site itself, it’s genuinely impressive and worth seeing. I’d just suggest doing a little reading beforehand to appreciate the history.",negativo,atractivos,estrellas=3 | neg_sutil: | conector:unfortunately,0.417,media
gm_c32b461e5c969d5b,Museo de Sitio Huaca Pucllana,Google Maps,en,3,2026-05-07T00:43:02.904Z,"The archaeological site itself was honestly very impressive and absolutely worth visiting. You can really feel the importance of the place, and the ruins are beautifully preserved. Unfortunately, the guided tour didn’t quite match the quality of the site itself. Our local guide seemed a bit disengaged and gave very limited historical information in English. Most of the tour felt like simply moving from one point to another without much storytelling, interesting context, or those little fun facts that usually make places like this come alive. It wasn’t terrible, just surprisingly flat for such a fascinating location. We actually ended up leaving before the tour finished because it became hard to stay engaged. That said, I would still absolutely recommend visiting the site itself, it’s genuinely impressive and worth seeing. I’d just suggest doing a little reading beforehand to appreciate the history.",negativo,costos,estrellas=3 | neg_sutil: | conector:unfortunately,0.417,media
